name,streets_count_average
0MjPT6HtU1Djhcbe2Lovdo,1.230103341833311
19w_MQjLOlhj_4d9rFKTr6,1.4424398625429553
1DOMD7tjWCMsA4rUlZfGc2,2.8239723878255414
1rx2UtM20APgaIUN6Dt5d7,2.962844330557335
2fF3o6liS9T2u2Mtp0BIg1,2.187985288107887
2iLgMHu3eVI2OI1WYOBo_U,1.0
2~K180YpY3__rC5lgEOuyK,1.0
38jqcDiHuixKEj61aZMmSW,1.3940172508717197
4rl0gmzUgQyNWKl6DhUE3w,1.0
4zOHODfIcjLt7yAku07p~Y,1.0
5bKkVqHr5839NyMEWsGkBT,1.0
6RQl9h7KW2Lq7qafBhSeG3,1.0000578034682082
7Sgfbgvxp5ti91Q13dtbSg,1.3622747199220653
7Xw~5ORoxxKTNuYycfFGbF,2.8963565617262117
87084yzrt7n~FsySss9VVZ,3.0728051391862956
8He~jt0ZWtkRJUVK0nfST6,1.7920110192837466
9VwVLBVGCY90AVY3dbdLlM,1.0
9Wc4nMxrLmVsoBJI6KOjRb,2.996125282531482
A6c4JcdN6rVW5Y0TKfazaI,1.0
CE2psVX5LCIqRub_m07jZe,1.5426008968609866
CfTWPA8pjzdTIUNVzIBV07,1.3603456487718582
DZ0O5aNNuQwxftmTIfd~qC,1.0
DcKbOuOXdNgQrKbG~ecVCk,1.0
Dk3em_m_bSFYGRkXeXIGiJ,1.6506600899463224
Empc0nMdGQpOOTQqGwQz6F,1.323658233640583
FKscsWAyzAM2eD5Noa1PT_,3.0100421120829286
Fa7pwqpCdqc4G9oLNi0t9n,1.283991558637323
FgMzf_MuCqydjt4aUbcZnS,2.392317880794702
Fz4HfgHzIw~YSQZ48KHuuK,1.0
Gf6rpbUZQUL4GaYeyGvTHH,1.6302191849320777
GuwH2wzn~n4EdFF9Ec8jZL,1.4303125
GvdAaj7jJjAo051vePk112,2.880301602262017
HLpipdbkGCjM9otOVuzk2H,1.0
H_ufNgXu3eHot6gafRVGUw,1.1586881472957422
Hp6uECiB07sDdZlLdFybQG,3.0445879458794587
IG83s0tm6HGqDg66xgh7BH,1.8637305699481865
IbM_hPGXwPWGsWIp21OIeo,1.7893646408839778
J3ZlWlHbXN3VrZdlLwMDe~,2.936412078152753
